[0.00 - 10.00]  So today we are going to be talking about how to structure a machine learning project.
[10.00 - 12.00]  So we have learned about back propagation.
[12.00 - 21.00]  We learned about a basic network, we did a refresher about logistic aggression.
[21.00 - 29.00]  Also we talked about optimization algorithms and some of the things to do to survive against
[29.00 - 33.00]  overfitting and underfitting overfitting overfitting combines and bias.
[33.00 - 39.00]  Today we are going to be talking about the structuring a deep learning system.
[39.00 - 43.00]  First of all we have something called ortho-guaritalization.
[43.00 - 50.00]  This is a term that you can apply that you should search for hyperparameters or you should attune hyperparameters
[50.00 - 54.00]  like you are tuning some knobs in our device.
[55.00 - 59.00]  So to fit the training data you have its own knob.
[59.00 - 65.00]  So basically you should build your model and if you need to fit your training data well,
[65.00 - 72.00]  you need to systematically increase the complexity of your function.
[72.00 - 76.00]  To reduce the variance we have special knobs for this.
[76.00 - 81.00]  You should be with these knobs if you are at a high variance problems.
[81.00 - 90.00]  Basically regularize the opportunities, drop out, mainly get more data, data augmentation,
[90.00 - 93.00]  and stopping, sounds for them.
[95.00 - 98.00]  You are poor on test set.
[98.00 - 103.00]  So basically try a bigger development set.
[103.00 - 106.00]  This is a knob for being poor on test set.
[107.00 - 116.00]  This will apply that your development set is not well representative of the real world or test set data.
[116.00 - 127.00]  If you are not doing well on your real world data, basically you should improve the quality of the test and development set.
[127.00 - 133.00]  You should get some more real world data and put them in the test and development set.
[133.00 - 143.00]  So basically go to people, let them label some data points you have and then include those in your dev and test sets.
[143.00 - 151.00]  Orthogonalization will get our will going to apply that you should do a specific action for one and only one goal.
[151.00 - 161.00]  This is because there is many trade-offs in deep learning and maybe if there is one knob that will get us systematically control two goals,
[161.00 - 164.00]  this will get a effect.
[164.00 - 172.00]  We will not get a reach neither of our goals because of deep learning is all about trade-offs.
[172.00 - 187.00]  So basically if you are using an early stopping mechanism, maybe you are stopping one, one that training, error and the dev error are far from each other.
[188.00 - 206.00]  But the reality is that you can fit the data, the training data more and the reality maybe that, yeah, so the reality maybe that you can fit the training data more or simply you can
[206.00 - 217.00]  overfit them regularize. Basically the early stopping we are going to affect the dev how well you are doing on the dev set and how well you are doing on the training set.
[217.00 - 224.00]  So it will be hard to maintain what is your limits, to maintain what is your limits on both.
[224.00 - 229.00]  You can do better on your training set.
[229.00 - 238.00]  And you don't know about this because of the dev set error.
[238.00 - 248.00]  We should set a goal like an evaluation metric, especially for rectification algorithms.
[248.00 - 257.00]  So we should set the right goal and optimize for it. We have a set of evaluation metrics.
[257.00 - 269.00]  We have the accuracy of course, which is how much you get classified data examples right of all the data examples you have.
[269.00 - 281.00]  So if you are familiar with the square thing for the classification metrics, it is through positives plus through negatives over the whole thing, through positives, through negatives, false positives and false positives.
[281.00 - 290.00]  And we have precision. Precision is basically the intuition of precision out of the guys that you predicted as positive.
[290.00 - 300.00]  How much they are really, how much there is true positives. So it's true positives over the true positives plus false positives.
[300.00 - 308.00]  The recall is something to evaluate out of all the positive examples how well you are doing.
[308.00 - 312.00]  So it's the true positives over the true positives plus false negatives.
[312.00 - 326.00]  False negative is a true labeled positive. So if you need to evaluate how well you are doing on the positive examples, you should evaluate the true positives over the true positives plus false negatives.
[326.00 - 338.00]  If you need a trade-off between precision and recall, you should use the affron sport, which is basically the two times precision times recall over the precision plus recall.
[338.00 - 359.00]  And this is very useful precision and recall and maybe designing your own metric is very useful since there is some cases that I can see will not give you the true answer of how well you are doing on your problem.
[359.00 - 384.00]  So let's say you are classifying for frauds for fraud detection. And the issue is, and you have in your training or you have in your test set 100 examples where 99 of these 100 examples are negatives and one is positive.
[384.00 - 402.00]  And you got 99% accuracy. Well, you should see if you predicted this 1% this 1 data point that is representing the positive or the non-major class in the test set or not.
[402.00 - 411.00]  So you should use the recall for example, or for order precision or whatever you feel right for your problem.
[411.00 - 430.00]  As a satisfying metric is a metric that you are okay with and you are flexible with. An optimization metric is like precision or recall of front score. It's something that you aim to reach and you will still and you will iteratively do whatever you can in order to reach that.
[430.00 - 449.00]  Basically, a satisfying metric could be the running time of an algorithm, the space of this algorithm and the optimization metric could be accuracy precision and the main goal of the machine learning problem you are solving.
[449.00 - 466.00]  The most important thing is that the training distribution could be good, or it's okay, it's okay about challenging to be different than the dev and test sets the distributions.
[466.00 - 476.00]  But it's not okay and it should not be okay to have a train and dev sets of different distributions.
[476.00 - 484.00]  They should be exactly the same distribution since this is a thing that you are optimizing for and looking to improve.
[484.00 - 495.00]  You can train and you can fit the training data in many ways and easily these days with these deep models.
[495.00 - 508.00]  But the dev and test sets should be your goal to optimize for and the goal to hit the right answer on and then they should be from the same distributions.
[508.00 - 519.00]  You should log the dev set while you are training the dev set error while you are training and then just note your accuracy on test set.
[519.00 - 530.00]  This should be very similar from the same distribution.
[530.00 - 543.00]  We talked about metrics but basically what I need to say in this slide that you may customize your metrics.
[543.00 - 554.00]  So you can, for example, give a high weight for classifying a pawn image as a cat.
[554.00 - 571.00]  But basically use orthodontalization and take each thing in your deep learning or a machine learning project as once to tune for it and not only to tune for many goals.
[571.00 - 577.00]  Just tune for one goal and it should be okay. We are orthodontalization.
[577.00 - 582.00]  Human level performance is the best thing a human can do on a specific problem.
[582.00 - 594.00]  We can't do with the training how well we are doing on training, cancer pass, how well a human can do on this trunk of data, sorry on this problem.
[594.00 - 602.00]  But we can't do something called the base error which is the best error error.
[602.00 - 630.00]  The reason why we after suppressing the human level performance or the human base error, the reason why we are very slow to reach the limits or the borders of base error is that human level performance is in many problems just like the base error or just nearly, or nearly a little bit down the base error.
[631.00 - 639.00]  This is a graph illustrating what I have just said. So we see the accuracy of a problem, improving over time.
[639.00 - 648.00]  It surpasses the human level error or the human level performance. But then it's cancer pass the base error.
